      875	2026-02-05 14:03:17	2	0	1	0
      875	2026-02-05 14:28:45	2	0	1	0
      161	2026-02-06 10:17:17	2	0	1	0
     5999	2026-02-06 10:21:39	2	0	1	0
      557	2026-02-27 11:04:32	2	0	1	0
      567	2026-02-27 11:06:17	2	0	1	0
      636	2026-02-27 11:08:26	2	0	1	0
      574	2026-02-27 11:12:08	2	0	1	0
       67	2026-02-27 11:14:05	2	0	1	0
      311	2026-02-27 11:17:46	2	0	1	0
      311	2026-02-27 11:17:56	2	0	1	0
      538	2026-02-27 11:28:07	2	0	1	0
      612	2026-02-27 11:30:07	2	0	1	0
       43	2026-02-27 11:31:45	2	0	1	0
       35	2026-02-27 11:35:33	2	0	1	0
      543	2026-02-27 11:38:34	2	0	1	0
      330	2026-02-27 11:42:01	2	0	1	0
      331	2026-02-27 11:44:12	2	0	1	0
      877	2026-02-27 11:49:15	2	0	1	0
      567	2026-02-27 11:55:49	2	0	1	0
      567	2026-02-27 12:07:45	2	0	1	0
       19	2026-02-27 12:33:27	2	0	1	0
      574	2026-02-27 14:00:29	2	0	1	0
       67	2026-02-27 14:01:03	2	0	1	0
      649	2026-02-27 14:13:01	2	0	1	0
      598	2026-02-27 14:15:47	2	0	1	0
      311	2026-02-27 15:04:11	2	0	1	0
      567	2026-02-27 15:05:51	2	0	1	0
      557	2026-02-27 15:06:05	2	0	1	0
       19	2026-02-27 15:12:12	2	0	1	0
       43	2026-02-27 16:00:03	2	0	1	0
       43	2026-02-27 16:00:06	2	0	1	0
      543	2026-02-27 16:13:20	2	0	1	0
      543	2026-02-27 16:13:23	2	0	1	0
       35	2026-02-27 16:13:28	2	0	1	0
       35	2026-02-27 16:13:31	2	0	1	0
      636	2026-02-27 17:00:39	2	0	1	0
      636	2026-02-27 17:00:48	2	0	1	0
      538	2026-02-27 17:04:13	2	0	1	0
      612	2026-02-27 17:04:43	2	0	1	0
      649	2026-02-27 17:06:42	2	0	1	0
      330	2026-02-27 17:07:15	2	0	1	0
      331	2026-02-27 17:09:05	2	0	1	0
      598	2026-02-27 18:16:58	2	0	1	0
      574	2026-03-02 06:44:09	2	0	1	0
       67	2026-03-02 07:01:16	2	0	1	0
       19	2026-03-02 07:15:42	2	0	1	0
      557	2026-03-02 07:36:55	2	0	1	0
      567	2026-03-02 07:37:33	2	0	1	0
      567	2026-03-02 07:44:41	2	0	1	0
      311	2026-03-02 07:51:36	2	0	1	0
      330	2026-03-02 08:25:33	2	0	1	0
      331	2026-03-02 08:48:39	2	0	1	0
       43	2026-03-02 08:51:15	2	0	1	0
       43	2026-03-02 08:51:19	2	0	1	0
       35	2026-03-02 08:51:56	2	0	1	0
      543	2026-03-02 08:52:05	2	0	1	0
      543	2026-03-02 08:52:09	2	0	1	0
      612	2026-03-02 08:54:30	2	0	1	0
      538	2026-03-02 09:05:44	2	0	1	0
      636	2026-03-02 09:52:55	2	0	1	0
      598	2026-03-02 14:00:45	2	0	1	0
      574	2026-03-02 14:01:16	2	0	1	0
       67	2026-03-02 14:01:32	2	0	1	0
      649	2026-03-02 14:02:48	2	0	1	0
      599	2026-03-02 14:16:19	2	0	1	0
      557	2026-03-02 15:00:29	2	0	1	0
      311	2026-03-02 15:01:53	2	0	1	0
       19	2026-03-02 15:02:34	2	0	1	0
       43	2026-03-02 16:00:07	2	0	1	0
       43	2026-03-02 16:00:10	2	0	1	0
      543	2026-03-02 16:13:02	2	0	1	0
      543	2026-03-02 16:13:06	2	0	1	0
       35	2026-03-02 16:13:11	2	0	1	0
      636	2026-03-02 17:00:20	2	0	1	0
      612	2026-03-02 17:00:43	2	0	1	0
      538	2026-03-02 17:01:23	2	0	1	0
      331	2026-03-02 17:01:44	2	0	1	0
      567	2026-03-02 17:47:53	2	0	1	0
      599	2026-03-02 18:01:59	2	0	1	0
      649	2026-03-02 18:03:54	2	0	1	0
      330	2026-03-02 18:04:55	2	0	1	0
      598	2026-03-02 18:05:47	2	0	1	0
       67	2026-03-03 06:58:31	2	0	1	0
      574	2026-03-03 07:09:09	2	0	1	0
       19	2026-03-03 07:22:58	2	0	1	0
      557	2026-03-03 07:49:28	2	0	1	0
      567	2026-03-03 07:50:06	2	0	1	0
      311	2026-03-03 08:07:22	2	0	1	0
      330	2026-03-03 08:35:14	2	0	1	0
      331	2026-03-03 08:42:51	2	0	1	0
       43	2026-03-03 08:51:20	2	0	1	0
       43	2026-03-03 08:51:24	2	0	1	0
      612	2026-03-03 08:53:34	2	0	1	0
       35	2026-03-03 08:58:09	2	0	1	0
      543	2026-03-03 08:58:14	2	0	1	0
      543	2026-03-03 08:58:21	2	0	1	0
      636	2026-03-03 09:58:04	2	0	1	0
      538	2026-03-03 10:56:55	2	0	1	0
      574	2026-03-03 11:36:29	2	0	1	0
      598	2026-03-03 13:57:50	2	0	1	0
      649	2026-03-03 14:03:12	2	0	1	0
       67	2026-03-03 14:03:24	2	0	1	0
      599	2026-03-03 14:20:38	2	0	1	0
      557	2026-03-03 15:00:15	2	0	1	0
      567	2026-03-03 15:00:21	2	0	1	0
       19	2026-03-03 15:01:06	2	0	1	0
